source;date;rating;text
review;2025-10-21;5;Bought Stride Socks for running, now my whole sock drawer is Relay. It happened gradually then suddenly.
review;2025-11-24;5;momentum short for ocr racing. barbed wire crawls, rope climbs, fire jumps. two seasons. one pair. zero repairs. they should sponsor the race series at this point.
review;2025-09-17;5;stride socks turned my marathon buddy into a relay person. the pipeline is real
review;2025-06-19;;two months in: Every fall I think about buying a different brand fleece. Every fall I buy another Basecamp.
review;2025-12-03;3;The Form bra band runs tight and the cups run generous. Together that's a fit nobody has. Sized around it eventually but the chart was zero help.
review;2025-04-13;5;Three years of CrossFit in the same two pairs of Checkpoints. Rope climbs included. ROPE CLIMBS. Not even a pulled thread.
review;2024-09-10;;Form bra survived a year of hot yoga. The elastic finally relaxed, which is fair. Rebuy price went up fifteen percent, which is less fair.
review;2024-02-03;5;Form bra has a tag that doesn't itch. Then I realized it's printed, not sewn. Then I realized someone thought about my comfort at the millimeter level. Loyal forever.
review;2024-02-28;5;My Checkpoints get complimented at least once a week. I've started keeping a tally. We're at 47.
review;2024-04-26;5;Every fall I think about buying a different brand fleece. Every fall I buy another Basecamp. 10/10
review;2024-07-20;5;checkpoints have made every other legging in my drawer obsolete. they sit there. unworn. a museum of my former bad decisions. the checkpoints reign alone
review;2024-07-01;2;The map on the tracking page literally showed my package going in a circle. Ten days of geometry.
review;2024-05-12;3;Good shorts, good fleece, good socks. Nothing wrong, nothing exciting. Relay is reliable and that is worth three stars on autopilot.
review;2025-08-28;5;I tried to find something wrong with the Momentum Short for this review. I could not. The liner is soft, the pockets work, the length is right. Annoyingly perfect.
review;2025-02-07;5;Daily Tee: the fabric has a weight to it that cheap tees don't. You can feel the difference in the first five seconds. You can see it after the fiftieth wash.
review;2024-10-20;1;Three weeks. THREE. A warehouse error, then a carrier error, then a reshipment. Each step I had to chase them. Nobody ever reached out first.
review;2024-02-26;5;daily tee: owned 3 weeks, worn 17 times. the math is mathing
review;2024-06-13;5;Basecamp Fleece in the heather gray is the softest thing Relay has ever made.
review;2025-10-26;3;After years here my honest advice: buy core lines true to size, size up in Flow, size down in Momentum, and never ever trust the quiz. The fact that I NEED this advice is the review.
review;2025-10-05;;The map on the tracking page literally showed my package going in a circle. Ten days of geometry.
review;2025-09-27;3;A week to get here but everything was right. Once upon a time it was two days AND everything was right. Aim higher, you've done it before.
review;2024-05-18;;My Summit duffel is four years old and looks better than bags I bought last year. Patina, baby. lol
review;2024-08-22;;transit jogger cuffs bunch over my sneakers more than my old pair did. tiny pattern change somewhere. still my go-to travel pant.
review;2025-03-06;5;Relay is the only brand where I buy without reading reviews first. They've earned it.
review;2024-10-18;4;Still the best activewear quality I have found, period. Just bracing you, new buyers, shipping is four days and your inbox will never be the same. ymmv
review;2025-11-21;5;skort gang. that's it that's the review
review;2025-03-10;3;App works fine 28 days a month. The two days that matter, drop days, it falls over. Sort of like a weather app that only breaks during storms.
review;2025-07-17;4;Form bra plus Flow legging is the combo. Both excellent. Both shipped in separate boxes three days apart for reasons nobody explained. Wasteful and weird, but the gear is great.
review;2025-02-14;;Checkpoint Knee Legging review from a skeptic: I rolled my eyes at the price, my sister bought them for me anyway, and I have since purchased two more pairs with my own money. The end.
review;2024-11-15;;Court Skort has pockets deep enough for a phone AND tennis balls. Game changer.
review;2025-07-24;5;No front seam on the Checkpoint. Whoever decided that, thank you. THANK YOU.
review;2024-08-26;2;Search results show sold out items first. Page after page of things I cannot buy before a single available product. Sort by actually purchasable should be the default, no?
review;2025-02-18;3;PSA: Honestly the return was fine, a week-ish. The annoying part was repackaging since they want original tags attached and the tags are attached by plastic loops you cut to try things on. Think it through.
review;2025-06-13;5;PSA: I coach high school track and stand in the sun for hours. The Daily Tee doesn't trap heat, doesn't show sweat patches badly, and survives industrial laundering. A+.
review;2025-03-26;5;The Summit neck gaiter is the winter running MVP. Breathes when you need it to.
review;2025-09-09;2;update: Ordered a large based on the chart measurements I took with an actual tape measure. Fit like a medium. Either the chart is wrong or my tape measure is gaslighting me.
review;2024-03-12;;quick note - Two of my last three orders arrived later than the promised window. The gear is great when it shows up. When is the operative word.
review;2025-10-24;1;used the predictor, got the wrong size, returned it, refund took forever, rebought, price had jumped, emailed support, got a coupon that excluded the item i was buying. every single step failed me.
review;2025-04-17;5;My Basecamp Fleece has been to two national parks and a hundred school dropoffs. Holding strong.
review;2024-05-26;5;Visited the Boulder clubhouse on vacation like it was a national monument. Bought a fleece. No regrets.
review;2025-09-16;2;Got logged out while writing a product review in the app. Lost the review. Writing this one on my laptop out of spite. The Transit Joggers are great, the app is not.
review;2025-09-15;5;pockets. finally.
review;2025-11-08;3;two months in: still love this brand but the 3 to 4 day standard quietly became a week and nobody said anything. at least be honest about the new timeline at checkout.
review;2025-09-13;5;the momentum short looks tailored. shorts. tailored. my legs have never been so flattered
review;2024-05-14;2;fwiw eight years buying relay and the december legging sellout was the first time i felt like a number. backordered, no timeline, generic updates. the product that finally arrived in january is admittedly perfect.
review;2025-10-28;2;Size 1X per their own chart measurements. Predictor said XL. XL didn't fti. Their chart and their tool aren't even on speaking terms.
review;2025-12-03;3;App search cannot exclude sold out items but the homepage can show me 40 personalized picks instantly. Engineering effort is going somewhere, just not where I need it.
review;2024-01-03;5;ngl form sports bra. four years of owning sports bras from six brands. this is the one. it was always the one. don't waste years like i did
review;2025-09-23;;quick note - the high collar on the basecamp is doing the lord's work on windy days
review;2025-02-09;5;The Basecamp Fleece pockets are lined with something soft. I noticed. I appreciated.
review;2025-01-26;5;rained the entire relay day 5k last month. my latitude and i finished happy
review;2025-07-14;4;the jogger drawstring never disappears into the waistband. relay thought of everything
review;2024-11-18;;Checkpoints at a week-long yoga retreat. Two pairs, fourteen classes, one very smug me when everyone else's leggings went sheer in candlelight flow.
review;2024-06-15;5;Did a 90 minute vinyasa in the Flow set. Zero adjusting. That never happens.
review;2025-10-17;5;quick note - five stars for the summit belt bag. race day, dog walks, farmers market. the everything bag.
review;2024-09-22;5;Wore the Form bra for a 6am lift, kept it on through a 10 hour clinic day, forgot about it entirely. Comfortable enough to live in, supportive enough to train in.
review;2024-08-14;;Checkpoints get a strong four. The fabric, fit, and pocket are five sta.r The wait when my size restocked after the holiday rush was not. Still my favorite leggings ever owned.
review;2025-01-05;;Latitude shell over the Form bra and Flow leggings. Rain run complete. All Relay, all dry.
review;2025-04-02;;the form bra doesn't have that weird boob-shelf uniboob thing. shaped like an actual human. 5 stars 10/10
review;2025-12-10;1;Ordered a birthday gift 12 days out. Should have been easy. It came two days after the party. The tracking sat on pre-shipment for almost a week and support could not explain why.
review;2025-10-19;;Seven days, and the box arrived looking like it had been kicked across three states. Tee was fine but come on.
review;2024-12-10;5;Trail runner. The Checkpoint protects my knees from brush without overheating my legs. The exact legging length nobody else makes well. Relay nailed it.
review;2025-09-14;4;4 stars only because they should make a dress sock version. I'd buy ten pairs tomorrow.
review;2025-12-10;2;Every order this year has taken longer than the last. It's like watching a friend slowly become someone else. would recommend
review;2025-06-18;2;Relay's gotten big and the cracks show. Lovde them since 2014. This year alone, one backorder, two late deliveries, and a homepage that feels like it reads my mind in the worst way.
review;2025-11-10;;Honestly debating whether free shipping that takes 9 days is even a perk. I'd pay five bucks to have the old speed back.
review;2024-05-04;5;Run club leader here. At this point I should get commission for how many Checkpoints I've talked people into. Every single person came back happy.
review;2024-03-23;;My mother-in-law asked where my leggings were from. We now own matching Checkpoints. This is either beautiful or concerning.
review;2024-10-02;4;PSA: Still my favorite activewear company. The Relay Days run in our city is the highlight of my month. Just wish online orders shipped as fast as they used to. Three to four days now, every time.
review;2025-10-18;;Drop-off location list in the portal included two closed locations. Third try worked. Then a ten day refund. Every step had a pebble in the shoe.
review;2024-06-09;3;Fine but slow, the Relay returns motto. Seven to ten days every time across four returns in three years. Consistently mediocre, reliably so.
review;2025-11-09;5;The Form bra clasp has never once come undone during a workout. I had a different brand betray me mid-burpee in a crowded gym. Trust matters. Relay has mine. fr
review;2025-03-28;4;The Daily Tee: perfect weight, perfect drape. Four stars because my cat has chosen it as her favorite sleeping surface and I can no longer wear it without lint rolling. Cat tax applied.
review;2025-09-19;5;ngl Summit running gloves were the missing piece of my winter kit. Complete now.
review;2025-07-20;5;Daily Tee under a suit jacket at a startup pitch. Closed the round. The shirt gets 10% credit and a permanent closet position.
review;2025-11-23;5;Bought the Daily Tee at the Chicago clubhouse while visiting my son. Now I order online from Ohio. The shirt traveled better than my luggage did.
review;2025-04-10;4;Summit beanie stays on through burpees. The science checks out. would recommend
review;2025-12-27;1;My December order got swallowed by the Checkpoint backorder. Three thousand of us apparently. I was order number who-knows-what in line and got my leggings January 21st. Never preordering a promo again.
review;2025-04-15;5;summit headband kept my ears alive through a january long run. essential kit 10/10
review;2025-08-23;2;Site slow, search useless, and the order confirmation page errored after charging me. Spent an hour not knowing if I bought leggings. Email finally confirmed it. The suspense was not a feature.
review;2025-05-13;2;Return received January 4 per tracking. Refund January 15. Eleven days of my money sitting in their account earning their interest. Multiply by however many thousand returns. Do the math on why it is slow.
review;2025-12-07;2;two months in: Used to be the gold standard. Now my orders crawl in after a week and the tracking page is decorative at best. The clothes keep me here, barely.
review;2025-04-20;5;checkpoints worn for 3 straight days of moving apartments. lifting boxes, climbing stairs, sleeping on a mattress on the floor. they emerged ready for the gym. i emerged ready for retirement fr
review;2024-04-28;5;washed weekly for a year. the daily tee looks better than shirts i bought last month elsewhere. fabric wizardry
review;2025-06-12;2;Two pairs of the same jogger, same size, ordered a month apart. One fits, one doesn't. There's a quality control ghost in that factory.
review;2025-12-12;5;Every other sock in my drawer is now backup socks. Stride or nothing.
review;2024-09-20;4;4 stars. Fleece runs slightly long in the arms for me but otherwise perfect. Sizing down next time.
review;2024-07-02;3;Basecamp Fleece is warm, soft, and perpetually sold out in medium. Three months of stock alerts to get mine. Worth it, barely.
review;2025-11-21;5;daily tee fabric feels like the expensive sheets at a fancy hotel. i'm wearing bedding to the gym and thriving.
review;2025-01-12;2;Swapped sizes via their refund-rebuy process and somehow ended up with two charges and one refund for a week. Bank flagged it. I had to explain Relay's exchange system to a fraud analyst. He was also confused.
review;2025-11-12;5;checkpoint leggings on my 50 mile bike week. no seams where the saddle hits. somebody on that design team rides and it shows
review;2025-08-14;5;Flow yoga set washes cold, hangs dry, looks new forever. Easiest care routine in my closet. ymmv
review;2025-10-20;2;real talk logged out for the third time this month, and this time the app also forgot my saved addresses and payment methods. re-entered everything. there are banking apps less paranoid than this.
review;2025-01-12;5;I drove 40 minutes to the clubhouse just to touch the new fleece in person. Worth it.
review;2025-09-04;1;honestly Eleven days, two support chats, one escalation, zero useful answers. The package outran their own customer service in the end and just showed up.
review;2024-05-16;3;Form Sports Bra in the high support is genuinely the best for running. Low support version is me.h Know what you are buying.
review;2024-12-14;;Why does the men's medium tee fit smaller than the men's small fleece? Asked support. Got an apology and a discount code. I didn't want a code, I wanted an explanation.
review;2024-07-24;3;latitude shell in the new season runs a half size slim through the shoulders versus my old one. layering is tight now. quality itself is unchanged.
review;2025-04-27;;Took a week. Fine I guess. But I joined this brand when a week would have been unthinkable, so three stars from a sad longtime fan.
review;2024-06-17;2;new legging line claims same fit as checkpoint on the product page. it is not the same fit. it is a full size smaller. i own nine pairs of checkpoints. i am a checkpoint expert. do not tell me about checkpoint fit.
review;2025-02-26;3;Latitude rain shell does its job. The pit zips are hard to reach mid-run. Design nitpick on an otherwise solid jacket.
review;2025-02-19;5;Transit Jogger is worth every penny. I said what I said.
review;2024-08-06;;Chat support promised an expedited refund after the eleven day January wait. The expedite took four more days. Words mean things, Relay.
review;2025-10-08;2;Took three tries to find my size in the Transit Joggers because each return meant a refund, a wait, and a repurchase. Three weeks of my life I'm not getting back.
review;2025-01-10;;still my favorite running gear, but i now order three weeks ahead of when i actually need anything. that's the system i've built around their shipping. it shouldn't be necessary.
review;2025-10-22;5;checkpoint knee legging: i have now converted my mom, my aunt, two coworkers and a stranger at trader joes. the gospel spreads itself
review;2025-02-20;5;I sweat through everything. The Flow set dries before I'm even back to my car.
review;2025-12-16;;Tracking said label created for five straight days. Five days. Then it sat in a sort facility for three more. What happened to this company?
review;2024-12-08;;Transit Jogger pockets actually fit a phone AND keys. Whoever designed these gets it.
review;2025-02-19;5;update: daily tee in heather gray. worn 3x a week for a year. zero pilling under the backpack straps. college kid budget approved, college kid laundry habits survived
review;2024-02-14;3;Court Skort is cute and functional. Three stars because the built-in shorts ride up on long matches. Good not great.
review;2025-03-15;5;honestly got the basecamp fleece on sale and now i feel liek i robbed them
review;2024-01-21;5;The Daily Tee is the only shirt that survived my minimalist closet purge. 40 shirts entered. 4 remained. 3 were Daily Tees. The data was conclusive. fr
review;2024-05-01;5;the momentum short looks tailored. shorts. tailored. my legs have never been so flattered
review;2024-02-09;4;4 stars olny because my wallet hurts. The gear itself is five stars every time.
review;2024-12-05;;quick note - My daughter stole my Daily Tee. Then my wife stole the replacement. I have now bought four and physically hidden one. Great shirt. Terrible family.
review;2025-05-20;5;quick note - momentum shorts pocket = phone, keys, card, gel, dignity. all secure.
review;2025-09-09;5;Momentum Short at my 40th birthday flag football game. I pulled a hamstring but the shorts performed flawlessly. We celebrate the wins we get.
review;2025-12-06;1;Order stuck in label created purgatory for a week. Cancelled it and bought the same shorts at the clubhouse in person. The store experience was great. The website shipping is broken.
review;2025-05-23;3;Refund speed is my only complaint with this company. The label, the drop-off, all fine. Then a nine day wait for money on a 98 dollar legging. That is real money to float. just saying
review;2025-04-27;2;Two of my last three orders arrived later than the promised window. The gear is great when it shows up. When is the operative word. (size up tho)
review;2024-04-10;5;i own four pairs of transit joggers. my wife says i have a problem. she also stole a pair.
review;2025-01-14;1;Holiday order arrived so late I had already bought a backup gift. Tried to refuse delivery and return it, and that process took another three weeks. The whole thing was a circus.
review;2024-06-09;;the daily tee shoulder seams have survived two years of gym bag abuse, backpack straps, and my terrible posture. still square. still sharp. still the best shirt i own.
review;2025-12-26;2;Chat support promised an expedited refund after the eleven day January wait. The expedite took four more days. Words mean things, Relay.
review;2025-12-02;;solid shorts. the momentum has become my default for everything from track work to mowing the lawn.
review;2025-11-25;2;App notifications cannot be customized. It is all or nothing, restocks and marketing in one channel. I need restocks, I cannot take another we picked these for you alert. So it is nothing now. Their loss. (size up tho)
review;2024-07-17;5;fwiw My book club is now 60% Checkpoint leggings. We discuss novels and squat-proofness in equal measure.
review;2025-01-25;;fwiw Postal carrier. 8 miles a day on foot. Momentum Shorts from April to October. Two summers in, zero failures. That's a work boot level of durability in a short.
review;2024-11-20;4;Checkpoint leggings deserve their reputation. Four stars because I'm bitter the limited terracotta color sold out in a day. The black pair I settled for is, annoyingly, perfect.
review;2024-11-25;5;My Flow leggings from 2021 still look brand new. Whatever fabric this is, never change it. would recommend
review;2025-12-12;2;I love this brand and that is why this hurts. Ordered the Checkpoint legging during the December promo and got backordered into January. Nobody warned me at checkout.
review;2025-06-05;2;It finally came. Day 11. The note inside said thanks for moving with us. I would love to, if my gear ever moved at all.
review;2024-04-03;4;Five years, maybe thirty Relay pieces, two minor issues total. hTat record still beats everyone. The shipping slowdown and stock gaps are the only clouds on it. fr
review;2025-02-13;;Long time customer, first review ever, and it's about shipping. That should tell you something. Over a week, twice in a row.
review;2024-01-18;3;honestly Process is fine if unremarkable. The 11 day January thing everyone mentions happened to me too, but my February return took six days. Seems holiday-specific. Plan accordingly.
review;2025-07-02;5;momentum short pocket survived holding my car key fob through an entire mud run. the fob still works. the shorts still work. i barely work but that's unrelated
review;2025-05-16;5;The Checkpoints have pockets that hold a full water bottle while gardening. I look ridiculous. I am fully hydrated. The fabric doesn't even sag. Priorities achieved.
review;2025-12-11;5;quick note - the form bra has adjustable straps that actually stay adjusted. tiny detail. huge difference. someone there pays attention
review;2025-12-26;5;The Daily Tee + Transit Jogger combo at the airport got me a 'you look comfortable AND presentable' from my mother, which is the only five star rating that outranks mine. would recommend
review;2024-08-13;4;4 stars. stride socks are great but the fun colors sell out fast. restock the stripes please.
review;2024-12-06;3;Checkpoint legging number six. Still the best. Still annoyed that my size disappears for a month after every restock. Set an alert, you will need it. ymmv
review;2025-05-04;5;got the basecamp fleece on sale and now i feel like i robbed them
review;2025-12-06;1;Size 18 here. Fit tool recommendation was off by two full sizes, small direction of course. Always the small direction. Like wishful thinking is a sizing algorithm.
review;2025-09-14;2;the brand that nails fabric, seams, and pockets cannot make a size 8 mean the same thing twice. it's their last unsolved problem and they seem fine with it. ymmv
review;2024-03-10;2;update: the app logged me out during checkout and when i got back in, the promo code i had applied was expired. eleven minutes had passed. support honored it but that is an hour of my life total.
review;2025-12-26;1;Plus size, size 26. Tool recommended their largest size with a perfect fit badge. It was at least one size too small and the line doesn't go bigger. Don't slap a perfect fit badge on a guess.
review;2025-10-07;2;fwiw Latitude jacket medium swallowed me. Basecamp medium fits snug. Both outerwear. Both medium. Both Relay. Zero consistency.
review;2024-06-17;3;real talk Dark mode in the app makes the gray colorways invisible against the background. Bought charcoal thinking it was black. It is fine. It is not what I ordered, but fine.
review;2025-10-03;5;Momentum Shorts at my first Relay Day event. Half the run club was wearing them. We looked like a team. Felt like one too. would recommend
review;2025-11-24;;Wore the Daily Tee to my thesis defense under a cardigan. Passed. Creditign the shirt. fr
review;2025-06-24;3;My fifth pair of Checkpoints. Quality holds. Price went up twelve dollars since my first pair and the shipping got slower. Math is mathing in the wrong direction.
review;2025-02-24;2;App logged me out during the one drop I cared about this year. Reset password, email delayed, code expired, second code worked, leggings gone. Five system failures in eleven minutes. A speedrun of disappointment.
review;2025-11-09;3;Fit tool was wrong, but only by one size, so partial credit I guess. The annoying part was the exchange, which is just a refund wearing a trench coat.
review;2025-05-23;4;Daily Tee is great. I machine wash cold and hang dry and it looks new after a year. Four stars because the olive color faded slightly. The black and navy are immortal.
review;2025-09-06;;Sized down per reviews, should have sized down two. The Momentum runs big and the chart pretends otherwise. At least the fabric is great, hence three stars instead of one.
review;2025-12-21;2;Tracking said arriving today for four consecutive days. By day three it felt like a prank.
review;2025-12-11;5;honestly the form bra clasp has never once come undone during a workout. i had a different brand betray me mid-burpee in a crowded gym. trust matters. relay has mine.
review;2024-05-26;5;real talk The Form bra elastic hasn't gone wavy after a year of weekly washes. Every other bra I've owned turns into lasagna noodles by month six.
review;2025-08-22;3;Daily Tee and Transit Jogger combo is my uniform. Both great. Both went up in price this year. Loyalty discount would be nice, Relay.
review;2025-10-09;2;real talk Did the size swap thing. Refund: 10 days. Rebuy: instant charge. Notice how the money flows fast in only one direction.
review;2025-09-15;2;Placed the order at 7am hoping to catch same-day processing like the old days. It shipped four days later. The old days are gone I guess.
review;2024-06-17;5;psa: momentum short for ocr racing. barbed wire crawls, rope climbs, fire jumps. two seasons. one pair. zero repairs. they should sponsor the race series at this point.
review;2025-04-04;3;My refund came in six days which apparently makes me lucky based on these reviews. The rebuy-instead-of-exchange thing remains silly though. Three stars.
review;2025-12-08;2;Gave the fit predictor a second chance aftre it whiffed last year. It whiffed again, other direction this time. At least it's exploring.
review;2024-09-13;4;Stride trail socks plus the Summit gaiter got me through a freezing trail race smiling.
review;2025-10-13;3;Love the leggings, hate the sizing roulette. My second Checkpoint pair in the same size fits noticeably tighter than my first from last year. Did the cut change? Nobody will say.
review;2025-01-19;5;quick note - Rain rolls right off the Latitude shell. Watched it happen on my sleeve like a nature documentary.
review;2024-07-21;5;the side pocket fits my phone AND my keys AND nothing bounces. revolutionary.
review;2025-08-11;5;Summit gloves, Summit beanie, Summit gaiter. Winter running kit complete. Cold lost.
review;2025-06-07;5;honestly boulder mornings are cold and the basecamp fleece doesn't care. best layer i own.
review;2025-09-03;5;Court Skort has pockets deep enough for a phone AND tennis balls. Game changer.
review;2025-09-02;5;Transit Joggers for travel, Flow for yoga, Stride for runs. They've got me covered head to toe.
review;2025-11-14;;Tracking froze in Kentucky for 5 days. Started wondering if my joggers had decided to settle down there.
review;2025-10-18;;daily tee. 5 stars. my dry cleaner asked what brand it was. THE DRY CLEANER. the man sees a thousand shirts a week
review;2025-06-15;4;honestly best running shell i've owned and i've owned them all
review;2025-06-28;5;night shift nurse here. 13 hours on my feet and the checkpoints never sag, never roll down, never need yanking up. thats the whole review
review;2025-05-16;5;my relay drawer brings me more joy than most of my furniture
review;2025-11-20;1;Three weeks. THREE. A warehouse error, then a carrier error, then a reshipmnet. Each step I had to chase them. Nobody ever reached out first.
review;2025-11-02;5;got my first relay piece at a run club giveaway in 2018. probably 40 items later, no slowing down
review;2024-11-12;;The Momentum Short held my phone, keys, and a leash through an entire dog beach afternoon. Sand shook right out. Lab approved. Labrador, not laboratory. Although probably both.
review;2025-09-21;;Waited out the refund, rebought, and the SECOND size was also wrong because the line runs inconsistent even within itself. Two full cycles. Twenty-nine days. I have receipts and resentment.
review;2024-06-26;5;checkpoint leggings on my 50 mile bike week. no seams where the saddle hits. somebody on that design team rides and it shows
review;2025-04-20;4;4 stars, wish the Court Skort came in a longer legnth, but the fit is fantastic.
review;2025-11-14;1;Lost package, 11 days of waiting, then they made ME file the carrier claim. For a $34 tee. Absolutely not how you treat a customer of eight years.
review;2025-10-08;3;After years here my honest advice: buy core lines true to size, size up in Flow, size down in Momentum, and never ever trust the quiz. The fact that I NEED this advice is the review.
review;2024-02-16;;I'm an OR nurse, on my feet for hours, and the Daily Tee under my scrubs keeps me cool when the room is freezing-then-boiling. Bought five. - long time customer
review;2025-01-02;2;I now order two sizes of everything new and return one. Their refund-rebuy system means I'm permanently owed money by Relay. We have a payment plan relationship I never agreed to.
review;2024-03-26;4;Form Sports Bra fits true and lasts. Note the new sewn-in pads on the latest version. I prefer them, my sister hates them. Try before committing to three.
review;2025-11-23;5;Summit gloves let me use my phone without freezing. Touchscreen tips actually work.
review;2025-10-25;2;daily tee runs huge, form bra runs tiny, checkpoints run true. three items, three different size charts in practice. buying here is darts in the dark.
review;2025-08-01;5;Checkpoint Knee Legging: my first pair was 2019. They're still in rotation. The new pair I just bought is identical quality. Five years and they haven't cut corners. Respect.
review;2024-05-16;5;Stride compression socks got me htrough a 12 hour nursing shift. Buying five more pairs.
review;2025-03-12;;The shorts are still perfect after five years. That sentence is the whole reason I keep paying Relay prices. The four day shipping tests my patience every single time though.
review;2025-05-09;5;Stride Socks pack number eight. At this point they should send a loyalty punch card. 10/10
review;2024-06-09;5;The Latitude shell packs down to nothing. Lives in my bag year round now.
review;2025-07-22;3;Smooth enough return on my Stride Socks multipack. One ask, let me return part of a bundle without returning the whole thing. All or nothing is silly for socks.
review;2024-08-19;;update: the summit beanie matched my latitude jacket perfectly and i didn't even plan it.
review;2025-03-23;5;The Checkpoint waistband stays up without squeezing. I don't understand the engineering and I don't need to. Some things you just trust.
review;2024-05-07;5;Postal carrier. 8 miles a day on foot. Momentum Shorts from April to October. Two summers in, zero failures. That's a work boot level of durability in a short.
review;2025-01-17;5;Latitude held up in sideways Denver sleet. That's the whole review.
review;2024-12-18;2;The January backlog ate my refund for eleven days and customer service could only see what I could see, a package sitting in received. Give your own agents better tools at least.
review;2024-12-26;;The Daily Tee shrunk exactly zero percent after I accidentally dried it on high. I tested this against three other brands. Relay won by a landslide.
review;2025-12-07;1;Tracking stuck at out for delivery for three days. Three days of being out for delivery is just lost with extra steps.
review;2024-08-13;;good bra, great straps, washes well. sizing note: i went up one and it's perfect.
review;2025-05-11;3;Bought the Basecamp Fleece at the Boulder clubhouse. Staff were lovely. Online price was ten dollars cheaper the next week, which stung a little.
review;2024-12-13;5;I'm 5 foot 10 and the Corut Skort is somehow still long enough. Tall girls, we eat today. - long time customer
review;2025-05-20;5;Form bra: bought for marathon training, kept for life. Holds up wash after wash after wash.
review;2024-11-06;3;Exchanged a Form bra for a different size. Except you cannot actually exchange, you return and reorder. Two shipping waits, one annoyed customer, one great bra eventually. ymmv
review;2025-01-28;2;ok so Eight years buying Relay and the December legging sellout was the first time I felt like a number. Backordered, no timeline, generic updates. The product that finally arrived in January is admittedly perfect.
review;2024-03-14;3;two months in: Basecamp half-zip version please. The full zip is great but the collar flops without the zip all the way up. Three stars and a feature request.
review;2025-11-24;5;fwiw The Latitude vest is the perfect shoulder season piece. I'm in it from September to May.
review;2024-03-26;5;Transit Jogger update: pair number five. The collection is complete. It is not complete.
review;2024-12-11;;stride socks stay up. that's all i ever wanted
review;2024-12-26;3;Stride Socks are great until you need a specific size in a specific length, then good luck. Inventory has been rough since the holidays.
review;2025-09-21;;Bought my mom the Checkpoints for her 65th. She power walks the mall in them daily and tells strangers about the pockets. She's their best unpaid ambassador now. 10/10
review;2024-04-28;5;the daily tee survived a season as my fishing shirt. sunscreen, fish slime, cooler ice, gas station washes. came home soft. the fish were less durable.
review;2025-06-22;;Form bra fit guide was actually accurate. Ordered my measured size, fit perfectly first try. In bra terms this is a miracle on par with loaves and fishes.
review;2024-08-11;;the court skort sits at the exact right spot on my waist. no digging, no rolling, no gap.
review;2025-10-06;1;Used the predictor, got the wrong size, returned it, refund took forever, rebought, price had jumped, emailed support, got a coupon that excluded the item I was buying. Every single step failed me.
review;2025-07-03;5;Form bra worn under a backpacking pack for 40 miles. Srtap pressure plus bra straps usually equals misery. Not this time. The Sierra approved. So do I.
review;2024-03-04;5;Softest fleece I've owned since the ones from the 90s. Maybe softer.
review;2025-05-03;;My Basecamp arrived with a security tag still attached. The store fixed it but that meant a 40 minute drive to a clubhouse. Sloppy for a brand at this level.
review;2024-05-11;3;Flow Yoga shorts ride up a touch in lunges. Fabric and waistband are perfect. So close to a five.
review;2025-11-23;3;Quality is still there, the shorts are perfect as always. But I ordered on the 1st and it showed up on the 11th. That gap keeps growing every year.
